name,comm_cost,complexity,type
explored-428,0.44383123916811107,14,explored
explored-429,0.26753261602156764,25,explored
explored-430,0.36346885230117476,10,explored
explored-431,0.39306117209063496,9,explored
explored-432,0.4407010238141089,11,explored
explored-433,0.3179279799730408,26,explored
explored-434,0.38135470826112083,13,explored
explored-435,0.372502647795109,17,explored
explored-436,0.21682834264073447,11,explored
explored-437,0.33846042749855587,22,explored
explored-438,0.3720713781372361,20,explored
explored-439,0.28206840939726574,9,explored
explored-440,0.12458076577444022,12,explored
explored-441,0.3079024648565378,13,explored
explored-442,0.24353697284806486,14,explored
explored-443,0.3725387540920472,12,explored
explored-444,0.5185225303292895,24,explored
explored-445,0.7570407279029463,8,explored
explored-446,0.5269974805828359,13,explored
explored-447,0.23294880127094175,31,explored
explored-448,0.6201978625072214,17,explored
explored-449,0.30487755953527196,9,explored
explored-450,0.618013431542461,6,explored
explored-451,0.531412478336222,7,explored
explored-452,0.37919164018871565,32,explored
explored-453,0.4744551960973107,15,explored
explored-454,0.2682035913730023,28,explored
explored-455,0.43583911034084366,13,explored
explored-456,0.2879116117850955,27,explored
explored-457,0.48227710379356836,47,explored
explored-458,0.5748684126067143,22,explored
explored-459,0.36325642692085514,22,explored
explored-460,0.3223329481994994,19,explored
explored-461,0.25203198215546585,17,explored
explored-462,0.30875096283458525,37,explored
explored-463,0.27517812439822853,11,explored
explored-464,0.24377366968354863,11,explored
explored-465,0.24104563835933002,21,explored
explored-466,0.292869206945247,18,explored
explored-467,0.30621750433275585,20,explored
explored-468,0.5101278162911613,32,explored
explored-469,0.2776875120354325,14,explored
explored-470,0.32158675139611037,6,explored
explored-471,0.6746100519930677,4,explored
explored-472,0.31780963155529895,21,explored
explored-473,0.3536491430772195,9,explored
explored-474,0.5689229090442263,14,explored
explored-475,0.4200155257076834,17,explored
explored-476,0.3150635470826113,10,explored
explored-477,0.26951545349508965,22,explored
explored-478,0.4488734835355287,9,explored
explored-479,0.34716204506065873,22,explored
explored-480,0.3238108992875025,33,explored
explored-481,0.46400202195262863,20,explored
explored-482,0.3047371461582902,20,explored
explored-483,0.22275178124398254,31,explored
explored-484,0.462959954104885,17,explored
explored-485,0.427857612812119,27,explored
explored-486,0.6897265549778548,13,explored
explored-487,0.2808648661659928,20,explored
explored-488,0.27090554592720983,14,explored
explored-489,0.2931630720842161,15,explored
explored-490,0.4269770203479044,9,explored
explored-491,0.35602012324282706,12,explored
explored-492,0.3837256884267284,19,explored
explored-493,0.5600211021246551,8,explored
explored-494,0.22812158996084486,17,explored
explored-495,0.22583285191604108,27,explored
explored-496,0.32185153090699037,14,explored
explored-497,0.36924706335451574,30,explored
explored-498,0.40199397024841144,18,explored
explored-499,0.180146350856923,22,explored
explored-500,0.23794049682264606,25,explored
explored-501,0.2129549393414213,20,explored
explored-502,0.36265164644714054,13,explored
explored-503,0.4912502407086463,11,explored
explored-504,0.39819949932601606,30,explored
explored-505,0.2138937030618141,27,explored
explored-506,0.41499374157519764,11,explored
explored-507,0.46847799922973243,14,explored
explored-508,0.5014461001760613,54,explored
explored-509,0.618242104756403,5,explored
explored-510,0.43325149239360694,8,explored
explored-511,0.3104130560369729,9,explored
explored-512,0.3208706431735029,16,explored
explored-513,0.3421853937993453,25,explored
explored-514,0.4540908434430966,7,explored
explored-515,0.44591276718659745,11,explored
explored-516,0.3669121894858465,14,explored
explored-517,0.363337666088966,7,explored
explored-518,0.34577797034469504,16,explored
explored-519,0.3060098931253612,27,explored
explored-520,0.3066959127671868,10,explored
explored-521,0.2511915077989604,14,explored
explored-522,0.3299483679953785,24,explored
explored-523,0.521916522241479,4,explored
explored-524,0.4263973136915078,9,explored
explored-525,0.38393991912189496,8,explored
explored-526,0.5742907118557032,17,explored
explored-527,0.3494427594839209,14,explored
explored-528,0.30519750144425206,28,explored
explored-529,0.6216060080878106,2,explored
explored-530,0.8496112555362989,12,explored
explored-531,0.23850014442518797,27,explored
explored-532,0.4526646447140382,10,explored
explored-533,0.48029097663521425,23,explored
explored-534,0.42190288208485793,13,explored
explored-535,0.42320190641247846,20,explored
explored-536,0.29508472944348174,20,explored
explored-537,0.562861062969382,12,explored
explored-538,0.2348955324475257,17,explored
explored-539,0.12008954361640689,21,explored
explored-540,0.4836919892162528,11,explored
explored-541,0.19705011554015028,33,explored
explored-542,0.23263287117273257,10,explored
explored-543,0.36639466589639924,7,explored
explored-544,0.44010767700109144,15,explored
explored-545,0.24239862154181924,14,explored
explored-546,0.47370799634122873,26,explored
explored-547,0.38625754220424957,14,explored
explored-548,0.20060658578856172,25,explored
explored-549,0.3261361448103217,12,explored
explored-550,0.25505488157134626,14,explored
explored-551,0.5934681702933436,19,explored
explored-552,0.2555332900057772,20,explored
explored-553,0.4011098674497722,16,explored
explored-554,0.4313077700751011,19,explored
explored-555,0.3175669170036589,22,explored
explored-556,0.3762035432312729,14,explored
explored-557,0.1512492778740614,30,explored
explored-558,0.33131138070479504,26,explored
explored-559,0.3672592111175301,13,explored
explored-560,0.15606946851530923,24,explored
explored-561,0.25263575967648766,17,explored
explored-562,0.4176006162141346,9,explored
explored-563,0.3882028692470636,13,explored
explored-564,0.35012276140959,16,explored
explored-565,0.3474689485846332,13,explored
explored-566,0.32156268053148485,15,explored
explored-567,0.4051627992810837,20,explored
explored-568,0.6181036972848066,12,explored
explored-569,0.4931771564056011,53,explored
explored-570,0.29961005199306767,21,explored
explored-571,0.5123042236343798,14,explored
explored-572,0.136872953976507,27,explored
explored-573,0.35867754669747753,20,explored
explored-574,0.38869832787727077,17,explored
explored-575,0.31307770075101127,8,explored
explored-576,0.26856164548430594,27,explored
explored-577,0.4568329161050133,22,explored
explored-578,0.4193340193529753,18,explored
explored-579,0.35030329289428086,13,explored
explored-580,0.3957346427883691,17,explored
explored-581,0.4127511393542591,11,explored
explored-582,0.5490804929713076,34,explored
explored-583,0.3984991815906028,10,explored
explored-584,0.35705517042172175,17,explored
explored-585,0.46974292316580024,15,explored
explored-586,0.3612234418126967,23,explored
explored-587,0.3263166762950127,8,explored
